status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under-five_deaths,polio,total_expenditure,diphtheria,hiv/aids,thinness_1-19_years,schooling,year_trend
Least_developed,65.0,263.0,62,0.01,71.27962362,65.0,1154,19.1,83,6.0,8.16,65.0,0.1,17.2,10.1,16
Least_developed,59.9,271.0,64,0.01,73.52358168,62.0,492,18.6,86,58.0,8.18,62.0,0.1,17.5,10.0,15
Least_developed,59.9,268.0,66,0.01,73.21924272,64.0,430,18.1,89,62.0,8.13,64.0,0.1,17.7,9.9,14
Least_developed,59.5,272.0,69,0.01,78.18421529999999,67.0,2787,17.6,93,67.0,8.52,67.0,0.1,17.9,9.8,13
Least_developed,59.2,275.0,71,0.01,7.097108703,68.0,3013,17.2,97,68.0,7.87,68.0,0.1,18.2,9.5,12
Least_developed,58.8,279.0,74,0.01,79.67936736,66.0,1989,16.7,102,66.0,9.2,66.0,0.1,18.4,9.2,11
Least_developed,58.6,281.0,77,0.01,56.76221682,63.0,2861,16.2,106,63.0,9.42,63.0,0.1,18.6,8.9,10
Least_developed,58.1,287.0,80,0.03,25.87392536,64.0,1599,15.7,110,64.0,8.33,64.0,0.1,18.8,8.7,9
Least_developed,57.5,295.0,82,0.02,10.91015598,63.0,1141,15.2,113,63.0,6.73,63.0,0.1,19.0,8.4,8
Least_developed,57.3,295.0,84,0.03,17.17151751,64.0,1990,14.7,116,58.0,7.43,58.0,0.1,19.2,8.1,7
Least_developed,57.3,291.0,85,0.02,1.388647732,66.0,1296,14.2,118,58.0,8.7,58.0,0.1,19.3,7.9,6
Least_developed,57.0,293.0,87,0.02,15.29606643,67.0,466,13.8,120,5.0,8.79,5.0,0.1,19.5,6.8,5
Least_developed,56.7,295.0,87,0.01,11.08905273,65.0,798,13.4,122,41.0,8.82,41.0,0.1,19.7,6.5,4
Least_developed,56.2,3.0,88,0.01,16.88735091,64.0,2486,13.0,122,36.0,7.76,36.0,0.1,19.9,6.2,3
Least_developed,55.3,316.0,88,0.01,10.5747282,63.0,8762,12.6,122,35.0,7.8,33.0,0.1,2.1,5.9,2
Least_developed,54.8,321.0,88,0.01,10.42496,62.0,6532,12.2,122,24.0,8.2,24.0,0.1,2.3,5.5,1
Least_developed,52.4,335.0,66,5.740666666666666,0.0,64.0,118,23.3,98,7.0,3.9193333333333342,64.0,1.9,8.3,11.4,16
Least_developed,51.7,348.0,67,8.33,23.965612,64.0,11699,22.7,101,68.0,3.31,64.0,2.0,8.5,11.4,15
Least_developed,51.1,355.0,69,8.1,35.95857279,77.0,8523,22.1,105,67.0,4.26,77.0,2.3,8.6,11.4,14
Least_developed,56.0,358.0,72,8.24,256.1225243,75.0,4458,21.5,110,75.0,3.3,75.0,2.6,8.8,10.3,13
Least_developed,51.0,361.0,75,8.06,239.89139210000002,72.0,1449,21.0,115,73.0,3.38,71.0,2.5,8.9,9.4,12
Least_developed,49.6,365.0,78,7.8,191.6537407,77.0,1190,2.4,121,81.0,3.39,77.0,2.5,9.1,9.0,11
Least_developed,49.1,369.0,81,7.01,212.92293250000003,61.0,2807,19.8,127,63.0,4.37,6.0,2.5,9.3,8.5,10
Least_developed,48.7,371.0,84,7.07,249.9101958,69.0,265,19.3,133,65.0,3.84,69.0,2.6,9.5,8.1,9
Least_developed,48.2,375.0,87,6.35,184.8213446,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,9.6,7.7,8
Least_developed,47.7,381.0,90,5.84,25.08688824,70.22222222222223,765,18.2,143,36.0,4.54,34.0,2.5,9.8,7.2,7
Least_developed,47.4,382.0,92,5.04,98.19145117,70.22222222222221,258,17.7,148,39.0,4.1,38.0,2.6,1.0,6.8,6
Least_developed,47.1,386.0,94,3.53,8.8667775,70.22222222222221,29,17.2,152,4.0,4.71,4.0,2.5,1.2,6.4,5
Least_developed,46.8,388.0,95,3.49,35.93349121,70.22222222222221,1196,16.8,155,4.0,4.41,4.0,2.4,1.4,5.9,4
Least_developed,46.5,391.0,96,2.82,24.037942,70.2222222222222,11945,16.3,157,37.0,3.63,41.0,2.3,1.5,5.5,3
Least_developed,45.7,44.0,97,2.58,30.35993647,70.2222222222222,9046,15.8,159,41.0,5.38,38.0,2.1,1.7,5.1,2
Least_developed,45.3,48.0,97,1.85,15.88149254,70.2222222222222,2219,15.4,160,3.0,2.79,28.0,2.0,1.9,4.6,1
Least_developed,71.8,129.0,92,0.01,0.0,97.0,240,18.3,113,97.0,2.8546666666666662,97.0,0.1,17.9,10.2,16
Least_developed,71.4,132.0,98,0.01,10.44640334,97.0,289,17.7,121,97.0,2.82,97.0,0.1,18.1,10.0,15
Least_developed,71.0,135.0,104,0.01,52.82986467,96.0,237,17.0,130,96.0,2.88,96.0,0.1,18.3,10.0,14
Least_developed,77.0,137.0,111,0.01,59.2589257,94.0,1986,16.4,139,94.0,3.8,94.0,0.1,18.5,9.9,13
Least_developed,73.0,14.0,118,0.01,62.34988484,96.0,5625,15.8,150,96.0,3.16,96.0,0.1,18.7,9.4,12
Least_developed,69.9,142.0,126,0.01,62.65945432,94.0,788,15.2,161,94.0,3.6,94.0,0.1,18.9,8.9,11
Least_developed,69.5,144.0,135,0.01,53.26400378,97.0,718,14.6,173,97.0,2.91,97.0,0.1,19.1,8.4,10
Least_developed,69.1,147.0,144,0.01,42.48865034,96.0,2660,14.0,186,96.0,2.85,96.0,0.1,19.3,8.6,9
Least_developed,68.6,151.0,154,0.01,46.36536703,95.0,2924,13.5,201,96.0,2.8,94.0,0.1,19.5,8.6,8
Least_developed,68.2,152.0,164,0.01,42.3304549,86.0,6192,13.0,215,95.0,2.8,94.0,0.1,19.7,8.4,7
Least_developed,67.8,155.0,174,0.01,38.05462002,45.0,25934,12.5,231,94.0,2.68,93.0,0.1,19.9,8.2,6
Least_developed,67.3,158.0,185,0.01,4.11469667,11.0,9743,12.0,247,88.0,2.62,99.0,0.1,2.1,8.1,5
Least_developed,66.8,161.0,196,0.01,35.48458957,5.0,4067,11.6,264,9.0,2.51,87.0,0.1,2.3,7.9,4
Least_developed,66.3,164.0,207,0.01,0.397228764,77.61538461538461,3484,11.2,280,83.0,2.59,83.0,0.1,2.5,7.7,3
Least_developed,65.8,168.0,219,0.01,3.395069781,77.61538461538461,4414,1.8,298,85.0,2.47,85.0,0.1,2.7,7.5,2
Least_developed,65.3,173.0,231,0.01,3.69633051,77.6153846153846,5098,1.4,316,83.0,2.33,82.0,0.1,2.9,7.3,1
Least_developed,60.0,249.0,25,1.0,0.0,82.0,55,25.7,39,78.0,4.636,82.0,1.0,6.9,10.7,16
Least_developed,59.7,252.0,25,0.01,90.12206791,78.0,786,25.2,39,74.0,4.59,78.0,1.1,7.1,10.7,15
Least_developed,59.5,251.0,25,0.01,87.40804229999999,77.0,637,24.6,39,73.0,4.59,77.0,1.2,7.2,10.3,14
Least_developed,59.3,251.0,25,0.01,9.80407467,8.0,288,24.1,39,8.0,4.86,8.0,1.3,7.4,10.0,13
Least_developed,59.1,251.0,25,1.4,110.26336189999999,75.0,426,23.5,39,77.0,5.37,75.0,1.4,7.6,9.8,12
Least_developed,58.7,254.0,25,1.33,94.25737917,76.0,392,23.0,39,77.0,4.95,76.0,1.4,7.8,9.5,11
Least_developed,58.4,259.0,25,1.16,71.01399249,79.0,1461,22.5,39,8.0,4.46,79.0,1.6,7.9,9.3,10
Least_developed,57.6,278.0,25,1.28,7.615430126000001,75.0,928,22.0,39,77.0,4.2,75.0,1.8,8.1,9.1,9
Least_developed,57.1,283.0,25,1.12,7.49281752,82.0,341,21.5,39,82.0,4.55,82.0,2.0,8.3,8.9,8
Least_developed,56.8,284.0,25,1.19,75.91429496,74.0,176,21.0,39,76.0,4.75,74.0,2.0,8.5,8.7,7
Least_developed,56.5,285.0,25,1.13,7.106997355,7.0,210,2.5,39,73.0,4.73,7.0,2.1,8.7,8.5,6
Least_developed,56.1,285.0,25,1.15,10.73628066,75.0,262,2.1,39,74.0,4.56,72.0,2.1,8.9,8.1,5
Least_developed,55.8,285.0,25,1.35,8.931827297,73.0,217,19.7,40,75.0,4.63,73.0,2.1,9.1,7.7,4
Least_developed,55.6,283.0,25,1.23,40.48815233,15.0,1588,19.2,40,76.0,4.27,75.0,2.1,9.3,7.3,3
Least_developed,55.5,281.0,25,1.29,45.33476384,62.57142857142857,5859,18.8,40,77.0,4.69,76.0,2.1,9.5,6.6,2
Least_developed,55.4,279.0,25,1.34,37.38182018,62.57142857142857,4244,18.4,40,78.0,4.34,78.0,2.0,9.7,6.4,1
Least_developed,69.8,211.0,0,0.2786666666666667,0.0,99.0,11,24.5,0,98.0,5.346,99.0,0.5,15.4,12.5,16
Least_developed,69.4,216.0,0,0.01,209.3921344,99.0,0,23.6,1,98.0,3.57,99.0,0.5,15.7,12.5,15
Least_developed,69.1,219.0,0,0.01,19.79057439,97.0,0,22.7,1,97.0,3.83,97.0,0.6,15.9,12.6,14
Least_developed,68.7,223.0,0,0.01,188.7373664,97.0,1,21.9,1,97.0,3.7,97.0,0.6,16.1,12.3,13
Least_developed,68.3,225.0,0,0.23,289.8524057,95.0,10,21.1,1,95.0,4.73,95.0,0.5,16.3,11.9,12
Least_developed,67.9,228.0,1,0.28,244.0391949,91.0,21,2.3,1,92.0,5.17,91.0,0.5,16.6,11.4,11
Least_developed,67.4,232.0,1,0.17,27.48907048,93.0,6,19.5,1,93.0,6.3,93.0,0.4,16.8,10.9,10
Least_developed,67.0,234.0,1,0.21,302.667579,96.0,7,18.8,1,96.0,6.58,96.0,0.4,17.1,10.5,9
Least_developed,66.5,238.0,1,0.16,283.806236,95.0,11,18.0,1,93.0,5.88,95.0,0.3,17.3,10.1,8
Least_developed,65.8,245.0,1,0.29,169.2023968,95.0,2,17.4,1,96.0,5.27,95.0,0.3,17.5,9.6,7
Least_developed,65.0,254.0,1,0.73,145.5965445,95.0,11,16.7,1,95.0,5.28,95.0,0.3,17.8,9.2,6
Least_developed,64.2,263.0,1,0.96,2.586698228,89.0,3,16.1,1,9.0,4.41,89.0,0.3,18.0,8.8,5
Least_developed,63.3,273.0,1,0.52,19.15664091,95.0,0,15.5,1,96.0,4.9,95.0,0.2,18.3,8.4,4
Least_developed,62.5,282.0,1,0.29,151.97551930000003,83.0,27,14.9,1,89.0,7.75,86.0,0.1,18.6,8.0,3
Least_developed,61.7,29.0,1,0.14,8.574029812000001,89.0,756,14.4,1,88.0,5.91,88.0,0.1,18.9,7.6,2
Least_developed,62.0,312.0,1,0.17,93.35872844,98.0,418,13.9,1,98.0,6.91,92.0,0.1,19.2,7.3,1
Least_developed,59.6,288.0,21,4.103333333333334,0.0,94.0,9,18.7,31,94.0,7.089333333333333,94.0,0.7,7.3,10.6,16
Least_developed,59.1,297.0,22,0.01,41.25159038,95.0,0,18.2,32,95.0,7.54,95.0,0.7,7.4,10.6,15
Least_developed,58.6,33.0,22,0.01,40.15128458,96.0,0,17.6,32,96.0,8.3,96.0,1.0,7.4,10.5,14
Least_developed,58.0,312.0,22,0.01,38.73170505,96.0,49,17.1,33,96.0,8.21,96.0,1.2,7.5,10.3,13
Least_developed,57.4,321.0,22,4.16,3.595980333,96.0,129,16.6,33,95.0,8.58,96.0,1.5,7.6,9.9,12
Least_developed,56.8,33.0,23,4.16,31.14187566,96.0,495,16.1,34,94.0,8.82,96.0,1.9,7.7,9.3,11
Least_developed,56.2,338.0,23,4.05,2.030494673,94.0,305,15.7,34,96.0,6.96,94.0,2.4,7.8,8.6,10
Least_developed,55.3,35.0,23,4.33,15.99415192,92.0,173,15.2,35,89.0,7.86,92.0,2.9,7.9,7.9,9
Least_developed,54.8,355.0,24,4.54,1.72659515,99.0,43,14.8,36,93.0,1.3,99.0,3.4,8.0,7.2,8
Least_developed,54.1,361.0,24,4.5,21.24915339,92.0,784,14.5,36,88.0,11.49,92.0,3.8,8.1,5.9,7
Least_developed,53.4,369.0,24,5.54,1.7474409480000002,87.0,0,14.1,37,82.0,9.84,87.0,4.3,8.2,5.6,6
Least_developed,52.6,378.0,24,5.72,11.22655347,83.0,2,13.8,38,76.0,7.1,83.0,4.8,8.4,5.2,5
Least_developed,51.9,387.0,24,5.84,6.545263633999999,93.33333333333333,224,13.5,38,75.0,5.25,82.0,5.1,8.5,4.7,4
Least_developed,51.5,387.0,24,5.98,9.660010196,93.33333333333333,1016,13.3,39,74.0,5.15,81.0,5.2,8.7,4.4,3
Least_developed,51.3,385.0,25,6.09,10.61917585,93.33333333333333,0,13.0,40,72.0,4.96,81.0,5.3,8.8,4.5,2
Least_developed,58.0,386.0,25,6.61,9.696689164,93.33333333333331,18363,12.8,41,71.0,4.98,8.0,5.2,9.0,4.5,1
Least_developed,68.7,174.0,10,1.4860000000000002,0.0,89.0,0,19.6,12,87.0,5.740666666666668,89.0,0.2,1.9,10.9,16
Least_developed,68.3,179.0,11,0.01,12.17952064,88.0,0,18.9,12,87.0,5.68,88.0,0.2,1.9,10.9,15
Least_developed,67.8,183.0,11,0.01,8.758214537999999,83.0,0,18.2,13,66.0,5.93,83.0,0.2,11.0,10.8,14
Least_developed,67.4,186.0,12,0.01,6.914723982999999,86.0,15,17.6,14,84.0,6.24,86.0,0.3,11.0,10.7,13
Least_developed,67.0,19.0,13,2.12,60.18591771,88.0,722,17.0,15,87.0,5.64,88.0,0.3,11.0,10.7,12
Least_developed,66.6,192.0,14,2.2,56.88416481,89.0,1156,16.4,16,88.0,5.95,89.0,0.5,11.0,10.6,11
Least_developed,66.1,195.0,15,2.13,48.35423978,92.0,4779,15.9,17,95.0,6.36,94.0,0.6,11.1,10.5,10
Least_developed,65.6,199.0,16,2.24,53.10009046,91.0,4211,15.3,18,91.0,5.55,91.0,0.7,11.2,10.5,9
Least_developed,65.0,24.0,16,2.08,57.73516711,82.0,394,14.8,20,82.0,3.75,82.0,0.9,11.3,10.3,8
Least_developed,64.1,216.0,17,2.03,51.50447119,8.0,188,14.3,21,8.0,4.48,8.0,1.1,11.4,10.1,7
Least_developed,62.9,234.0,18,1.99,62.21817261,79.6,264,13.9,22,82.0,5.84,82.0,1.4,11.5,10.0,6
Least_developed,61.5,253.0,19,1.38,8.38611924,79.60000000000001,352,13.5,24,86.0,6.43,85.0,1.7,11.6,9.7,5
Least_developed,63.0,268.0,21,1.44,55.59543946,79.60000000000001,653,13.1,26,69.0,6.74,69.0,1.9,11.6,9.3,4
Least_developed,59.3,273.0,23,1.43,30.91060554,79.6,1361,12.8,29,54.0,5.95,54.0,2.1,11.6,8.2,3
Least_developed,58.5,273.0,25,1.71,27.68971051,79.6,3761,12.4,33,59.0,5.7,6.0,2.2,11.6,7.6,2
Least_developed,57.7,274.0,27,1.51,0.328418056,79.59999999999998,12237,12.1,36,62.0,5.87,59.0,2.1,11.6,7.2,1
Least_developed,53.1,356.0,46,0.41133333333333333,0.0,46.0,418,19.1,77,52.0,4.379333333333333,46.0,2.8,8.5,7.3,16
Least_developed,52.6,362.0,46,0.01,11.3020668,37.0,1275,18.7,78,44.0,3.62,37.0,2.9,8.7,7.3,15
Least_developed,52.2,366.0,46,0.64,76.52382535,39.0,226,18.2,78,46.0,3.42,39.0,3.1,8.8,7.3,14
Least_developed,51.8,367.0,46,0.62,57.8242709,4.0,120,17.9,79,51.0,3.0,4.0,3.6,9.0,7.3,13
Least_developed,51.6,365.0,46,0.56,67.76269089,33.0,8650,17.5,79,4.0,3.17,33.0,3.9,9.2,6.7,12
Least_developed,51.2,364.0,46,0.5,43.57328908,39.0,194,17.1,80,43.0,2.95,39.0,4.1,9.4,6.7,11
Least_developed,57.0,37.0,46,0.47,4.982900401,24.0,165,16.7,80,32.0,3.31,24.0,4.4,9.6,6.3,10
Least_developed,49.6,394.0,46,0.45,49.09198224,17.0,63,16.4,80,3.0,2.92,19.0,4.7,9.8,6.0,9
Least_developed,49.4,394.0,46,0.42,5.9629235320000005,29.875,441,16.1,80,38.0,3.35,28.0,4.9,1.0,5.7,8
Least_developed,48.5,414.0,45,0.41,62.67225971,29.875,1594,15.7,80,49.0,3.32,4.0,5.1,1.3,5.5,7
Least_developed,48.6,46.0,45,0.42,8.936064632,29.875,2,15.4,79,37.0,3.91,25.0,5.2,1.5,5.6,6
Least_developed,48.5,45.0,44,0.34,72.38451279,29.875,10324,15.1,78,31.0,5.72,21.0,5.2,1.7,5.6,5
Least_developed,48.4,43.0,44,0.42,3.979243535,29.875,15801,14.8,77,36.0,5.49,23.0,5.1,1.9,5.4,4
Least_developed,48.1,43.0,43,0.36,3.039691193,29.875,7277,14.4,76,31.0,8.33,25.0,5.0,11.1,5.1,3
Least_developed,48.0,4.0,42,0.3,26.87439074,29.875,24908,14.1,75,26.0,6.9,26.0,4.8,11.3,4.9,2
Least_developed,47.6,44.0,41,0.25,21.52701616,29.875,3546,13.9,74,3.0,6.28,36.0,4.6,11.5,4.7,1
Least_developed,63.5,227.0,1,0.13466666666666666,0.0,91.0,0,24.2,2,92.0,4.832,91.0,0.8,6.7,11.1,16
Least_developed,63.2,23.0,1,0.01,73.86584922,88.0,0,23.7,2,87.0,6.75,87.0,0.8,6.8,11.1,15
Least_developed,62.9,233.0,1,0.01,61.57443584,88.0,0,23.2,2,85.0,6.51,87.0,0.8,6.8,10.9,14
Least_developed,62.5,237.0,2,0.01,78.39008571,89.0,1,22.6,2,85.0,7.11,86.0,0.8,6.9,10.8,13
Least_developed,62.2,241.0,2,0.12,59.659649699999996,83.0,3,22.1,2,85.0,6.1,83.0,0.2,7.0,10.6,12
Least_developed,61.8,246.0,2,0.15,47.30421873,74.0,0,21.6,2,82.0,5.82,74.0,0.1,7.1,10.5,11
Least_developed,61.3,251.0,2,0.17,56.98952474,83.0,1,21.1,2,84.0,3.82,83.0,0.1,7.2,10.3,10
Least_developed,61.0,255.0,2,0.12,93.36788979,81.0,0,2.6,2,81.0,5.13,81.0,0.1,7.2,10.2,9
Least_developed,66.0,259.0,2,0.16,9.087638194,75.0,0,2.1,2,75.0,4.93,75.0,0.1,7.3,10.0,8
Least_developed,63.0,262.0,2,0.25,77.0283958,69.0,85,19.6,2,69.0,4.57,69.0,0.1,7.4,9.9,7
Least_developed,60.0,266.0,2,0.24,69.9675435,68.0,912,19.2,2,67.0,4.32,68.0,0.1,7.5,9.7,6
Least_developed,59.8,269.0,2,0.27,7.212110766,77.0,0,18.8,2,73.0,3.96,76.0,0.1,7.5,9.5,5
Least_developed,59.6,271.0,2,0.26,45.09010835,28.0,0,18.4,2,8.0,3.65,8.0,0.1,7.6,9.2,4
Least_developed,59.5,271.0,2,0.08,29.41897495,76.46153846153847,0,18.0,2,98.0,3.39,89.0,0.1,7.7,8.8,3
Least_developed,59.5,272.0,1,0.08,19.71741043,76.46153846153847,0,17.6,2,7.0,2.86,7.0,0.1,7.8,8.5,2
Least_developed,59.5,272.0,1,0.09,35.02948624,76.46153846153848,0,17.3,2,7.0,3.56,7.0,0.1,7.9,8.2,1
Least_developed,64.7,267.0,7,2.1733333333333333,0.0,8.0,1359,27.4,10,8.0,2.986666666666667,8.0,2.8,7.5,11.1,16
Least_developed,64.2,275.0,7,0.01,0.0,9.0,71,26.8,10,9.0,5.15,9.0,3.0,7.6,11.1,15
Least_developed,63.9,274.0,7,0.01,0.0,85.0,124,26.2,10,85.0,5.9,85.0,3.0,7.7,11.1,14
Least_developed,63.7,273.0,7,0.01,0.0,62.0,260,25.6,10,61.0,3.98,85.0,3.3,7.9,10.2,13
Least_developed,62.9,285.0,7,3.82,0.0,7.0,315,25.0,10,69.0,2.79,82.0,3.5,8.0,10.7,12
Least_developed,62.0,298.0,7,3.53,0.0,74.0,4,24.5,10,72.0,2.29,74.0,3.8,8.1,10.5,11
Least_developed,68.0,314.0,7,3.47,0.0,75.0,1,23.9,11,76.0,2.27,78.0,4.0,8.3,10.3,10
Least_developed,59.4,338.0,8,2.58,0.0,73.0,2,23.3,11,77.0,2.9,79.0,4.3,8.4,10.0,9
Least_developed,58.2,354.0,8,2.75,0.0,64.0,84,22.8,11,71.0,2.54,72.0,5.0,8.5,9.8,8
Least_developed,56.9,368.0,8,2.25,0.0,50.77777777777778,126,22.3,12,73.0,2.37,73.0,5.5,8.7,9.6,7
Least_developed,55.3,394.0,8,2.03,0.0,50.77777777777778,146,21.7,13,62.0,2.42,62.0,5.9,8.8,9.4,6
Least_developed,54.1,48.0,9,2.58,0.0,50.77777777777778,3524,21.2,13,67.0,2.56,67.0,6.3,9.0,9.2,5
Least_developed,53.2,417.0,9,2.45,0.0,50.77777777777778,3712,2.7,14,5.0,2.61,5.0,6.8,9.1,9.4,4
Least_developed,52.6,424.0,9,2.55,0.0,50.777777777777786,2788,2.3,14,41.0,2.45,41.0,7.2,9.3,9.5,3
Least_developed,52.7,419.0,9,2.3,0.0,50.777777777777786,2152,19.8,14,32.0,2.44,31.0,7.6,9.4,9.7,2
Least_developed,52.9,416.0,9,2.26,0.0,50.77777777777779,1678,19.3,14,31.0,2.13,33.0,7.8,9.5,9.8,1
Least_developed,63.5,241.0,1,0.7639999999999999,0.0,84.0,47,35.0,1,84.0,7.070666666666667,84.0,2.1,5.6,6.3,16
Least_developed,63.0,252.0,1,0.38,24.73299655,78.0,0,34.4,1,78.0,1.57,78.0,2.1,5.6,6.3,15
Least_developed,62.7,256.0,1,0.53,229.4410095,82.0,28,33.8,2,82.0,9.14,82.0,2.1,5.6,6.3,14
Least_developed,62.2,263.0,1,0.52,217.21257859999997,81.0,709,33.2,2,81.0,8.95,81.0,1.9,5.6,6.3,13
Least_developed,61.8,268.0,1,0.39,20.35974738,87.0,49,32.7,2,87.0,8.71,87.0,2.7,5.6,5.9,12
Least_developed,61.3,273.0,1,0.44,187.49600969999997,88.0,7,32.2,2,88.0,8.84,88.0,3.1,5.6,5.5,11
Least_developed,69.0,279.0,1,0.49,177.26716069999998,89.0,48,31.7,2,89.0,8.37,89.0,3.2,5.7,5.3,10
Least_developed,62.0,289.0,1,0.49,171.7686449,88.0,143,31.3,2,89.0,8.5,89.0,3.3,5.7,5.0,9
Least_developed,59.8,296.0,1,0.45,20.86878709,25.0,24,3.9,2,88.0,7.72,88.0,3.5,5.8,4.5,8
Least_developed,59.1,39.0,2,1.02,121.4812077,78.0,49,3.6,2,72.0,7.5,72.0,3.7,5.8,4.3,7
Least_developed,58.6,318.0,2,1.23,12.70325933,78.0,298,3.2,2,71.0,7.21,71.0,3.9,5.9,4.0,6
Least_developed,58.1,326.0,2,1.18,106.0354659,78.0,71,29.8,2,64.0,6.76,64.0,4.0,6.0,3.7,5
Least_developed,58.0,325.0,2,1.02,94.13302875,78.0,37,29.4,2,68.0,6.22,68.0,4.2,6.1,3.5,4
Least_developed,57.9,322.0,2,1.03,13.46662004,78.0,50,29.0,2,62.0,5.45,62.0,4.3,6.2,3.3,3
Least_developed,57.7,323.0,2,0.95,92.4978948,78.0,79,28.6,2,49.0,5.37,53.0,4.3,6.3,2.9,2
Least_developed,57.4,325.0,2,1.34,91.95075901,78.0,183,28.2,2,46.0,5.75,46.0,4.1,6.4,2.9,1
Least_developed,64.7,255.0,5,0.608,0.0,95.0,198,18.6,7,95.0,3.468666666666667,95.0,0.4,8.4,5.0,16
Least_developed,64.4,261.0,5,0.01,0.0,94.0,127,18.0,8,94.0,3.34,94.0,0.4,8.5,5.0,15
Least_developed,64.0,266.0,6,0.01,0.0,94.0,45,17.5,8,94.0,3.1,94.0,0.5,8.6,5.0,14
Least_developed,63.6,274.0,6,0.01,0.0,94.0,194,17.0,8,94.0,2.98,94.0,0.6,8.7,5.0,13
Least_developed,62.9,286.0,6,0.62,20.97991915,96.0,48,16.5,8,96.0,3.6,96.0,0.7,8.8,5.0,12
Least_developed,62.1,298.0,6,0.61,17.35739784,9.0,51,16.0,9,9.0,3.24,9.0,0.9,8.9,5.1,11
Least_developed,61.4,311.0,6,0.63,1.575160196,92.0,82,15.5,9,92.0,3.3,92.0,1.0,9.0,5.2,10
Least_developed,67.0,322.0,6,0.49,11.76572311,94.0,0,15.1,9,94.0,3.69,94.0,1.1,9.1,5.2,9
Least_developed,62.0,329.0,6,1.23,11.42385961,91.0,55,14.7,9,91.0,3.29,91.0,1.3,9.2,5.3,8
Least_developed,59.7,336.0,7,0.97,10.60269773,94.0,128,14.3,9,94.0,3.3,94.0,1.4,9.3,5.3,7
Least_developed,59.4,34.0,7,1.07,5.0646889680000005,96.0,19,13.9,9,96.0,2.97,96.0,1.6,9.4,5.4,6
Least_developed,59.1,342.0,7,0.64,10.26097341,84.0,24,13.6,10,98.0,3.14,98.0,1.8,9.6,5.0,5
Least_developed,58.8,343.0,7,0.56,6.913998013,91.0,376,13.3,10,95.0,3.5,93.0,1.9,9.7,4.7,4
Least_developed,58.5,343.0,7,0.83,0.703132179,86.0,460,13.1,10,92.0,4.2,9.0,1.9,9.9,4.4,3
Least_developed,58.1,345.0,7,0.61,5.593619538,86.42857142857143,204,12.8,10,89.0,3.95,86.0,2.0,1.0,4.3,2
Least_developed,45.3,593.0,7,0.83,0.7359403609999999,86.42857142857142,789,12.6,10,82.0,4.43,81.0,1.9,1.2,3.9,1
Least_developed,64.8,225.0,136,1.0746666666666667,0.0,77.0,17745,17.6,194,75.0,4.901333333333334,77.0,0.6,1.4,8.4,16
Least_developed,64.2,234.0,140,0.01,89.95805845,77.0,12739,17.2,202,75.0,4.88,77.0,0.6,1.5,8.4,15
Least_developed,63.7,237.0,145,1.86,8.313282039,72.0,5253,16.8,211,7.0,5.19,72.0,0.9,1.6,8.4,14
Least_developed,63.3,241.0,150,1.84,86.82551124,69.0,4347,16.4,221,7.0,5.77,69.0,1.2,1.7,8.4,13
Least_developed,62.6,249.0,156,1.32,67.77565369,65.0,3255,16.0,231,7.0,6.55,65.0,1.4,1.9,8.2,12
Least_developed,61.8,261.0,162,1.34,67.73374413,62.0,4235,15.6,243,69.0,6.86,61.0,1.7,11.0,8.1,11
Least_developed,68.0,274.0,169,1.17,53.77354001,56.0,1176,15.3,256,65.0,4.41,58.0,2.0,11.1,8.1,10
